scorer,,,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat
bodyparts,,,thumb_tip,thumb_tip,thumb_PIJ,thumb_PIJ,thumb_knuckle,thumb_knuckle,index_tip,index_tip,index_DIJ,index_DIJ,index_PIJ,index_PIJ,index_knuckle,index_knuckle,middle_tip,middle_tip,middle_DIJ,middle_DIJ,middle_PIJ,middle_PIJ,middle_knuckle,middle_knuckle,ring_tip,ring_tip,ring_DIJ,ring_DIJ,ring_PIJ,ring_PIJ,ring_knuckle,ring_knuckle,pinky_tip,pinky_tip,pinky_DIJ,pinky_DIJ,pinky_PIJ,pinky_PIJ,pinky_knuckle,pinky_knuckle,wrist,wrist,forearm,forearm,elbow,elbow,upper_arm,upper_arm,shoulder,shoulder,keypoint0,keypoint0,keypoint1,keypoint1,keypoint2,keypoint2,keypoint3,keypoint3,keypoint4,keypoint4,keypoint5,keypoint5,keypoint6,keypoint6,keypoint7,keypoint7
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Natalya_20200723_ARM_001-2,img01413.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img01562.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img02088.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img02258.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img02432.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img02592.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img02770.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img03137.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img03770.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img04097.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img04344.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img04769.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img05571.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img06721.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img07057.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img07286.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img08022.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img08150.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img09077.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img10119.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img10654.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img10827.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img11010.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img11527.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img11655.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img12365.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img13147.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img13373.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img13658.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-2,img14609.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3064102247303,361.66341313551266,691.6135313948852,355.2179669173723,565.2246517915986,162.16069095858845,563.9533253317913,274.9909142664756,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img00299.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img00701.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img01969.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img02270.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img02323.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img02495.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img02618.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
labeled-data,Natalya_20200723_ARM_001-3,img02672.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.716900130424,371.93312072586014,614.375653334012,369.35494223860394,554.5324232543451,95.40902842908844,460.7119953999394,311.1325000543495,,,,,,,,
