Time	Left Crest X	Left Crest Y	Left Crest Z	Left Hip X	Left Hip Y	Left Hip Z	Left Knee X	Left Knee Y	Left Knee Z	Left Ankle X	Left Ankle Y	Left Ankle Z	Left Foot X	Left Foot Y	Left Foot Z	Right Crest X	Right Crest Y	Right Crest Z	Right Hip X	Right Hip Y	Right Hip Z	Right Knee X	Right Knee Y	Right Knee Z	Right Ankle X	Right Ankle Y	Right Ankle Z	Right Foot X	Right Foot Y	Right Foot Z	R1 X	R1 Y	R1 Z	R2 X	R2 Y	R2 Z	R3 X	R3 Y	R3 Z	R4 X	R4 Y	R4 Z	R5 X	R5 Y	R5 Z	R6 X	R6 Y	R6 Z	L1 X	L1 Y	L1 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	L6 X	L6 Y	L6 Z
0.000000	0.20455453	-0.11795056	0.32848409	0.17984679	-0.18991125	0.28476015	0.18320034	-0.06901795	0.20418043	0.19579536	-0.16625719 	0.09988675	0.18835776	-0.12840827	0.05668533	0.29125354	-0.12490116	0.33600417	0.29132345	-0.22139215	0.28041056	0.28632653	-0.16085553	0.14826658	0.27051389	-0.29602367	0.09519786	0.29995862	-0.29908761	0.03838847																																				
0.010000	0.20462762	-0.11305371	0.32934916	0.17984511	-0.18506533	0.28567174	0.18286531	-0.06323396	0.20593002	0.19820569	-0.15590684	0.09702225	0.19072926	-0.11642466	0.05458644	0.29055753	-0.12065230	0.33671346	0.29105920	-0.21708608	0.28151065	0.28624353	-0.15979344	0.14813684	0.27040073	-0.29489291	0.09527946	0.30008477	-0.29895252	0.03844207																																				
0.020000	0.20468932	-0.10648713	0.33053985	0.17995633	-0.17859091	0.28680053	0.18252812	-0.05578582	0.20811999	0.20137818	-0.14190492	0.09388875	0.19359946	-0.10061333	0.05213724	0.28995040	-0.11457826	0.33771592	0.29232582	-0.20903949	0.28314331	0.28677997	-0.15748551	0.14820503	0.27021033	-0.29331920	0.09549867	0.30037624	-0.29855651	0.03861990																																				
0.030000	0.20471588	-0.09815299	0.33199030	0.17999963	-0.17045473	0.28812924	0.18208703	-0.04677613	0.21050306	0.20575249	-0.12416198	0.09016883	0.19704549	-0.08137242	0.04937790	0.28922018	-0.10684655	0.33894524	0.29547140	-0.19617739	0.28505582	0.28802297	-0.15397070	0.14865895	0.26988149	-0.29164699	0.09593067	0.30090645	-0.29774445	0.03894402																																				
0.040000	0.20465373	-0.08807053	0.33371615	0.17995866	-0.16059877	0.28959090	0.18153372	-0.03616910	0.21284015	0.21097335	-0.10291561	0.08629888	0.20066544	-0.05889182	0.04667153	0.28835371	-0.09753488	0.34045798	0.29981384	-0.18016806	0.28736559	0.28970736	-0.14950801	0.14954008	0.27038375	-0.28798157	0.09653389	0.30152979	-0.29653227	0.03941109																																				
0.050000	0.20452413	-0.07790195	0.33535400	0.18076652	-0.15025201	0.29022083	0.18091601	-0.02580345	0.21439135	0.21611610	-0.08238046	0.08262302	0.20405000	-0.03788651	0.04438582	0.28741106	-0.08809225	0.34193218	0.30237666	-0.16625658	0.28937858	0.29174048	-0.14462659	0.15076907	0.27185664	-0.28257623	0.09739883	0.30191398	-0.29552770	0.03990520																																				
0.060000	0.20429315	-0.06775470	0.33693823	0.18164451	-0.13960026	0.29032460	0.18047068	-0.01559021	0.21517369	0.22062072	-0.06336419	0.07972579	0.20701462	-0.01879978	0.04238880	0.28700605	-0.07782664	0.34348089	0.30179721	-0.15718578	0.29052299	0.29390797	-0.13921314	0.15199569	0.27404052	-0.27578345	0.09827854	0.30162674	-0.29525536	0.04035728																																				
0.070000	0.20405194	-0.05762941	0.33825755	0.18258721	-0.12858616	0.28968486	0.18016241	-0.00545330	0.21513224	0.22438136	-0.04649062	0.07698517	0.21004190	-0.00217392	0.03940612	0.28679708	-0.06706141	0.34490019	0.29873621	-0.15157183	0.29063663	0.29603902	-0.13323472	0.15292443	0.27606937	-0.26896554	0.09917415	0.30092013	-0.29536459	0.04083969																																				
0.080000	0.20381957	-0.04744666	0.33902776	0.18248333	-0.11762816	0.28880152	0.18070716	0.00498802	0.21368413	0.22697152	-0.03224020	0.07416766	0.21270341	0.01142096	0.03525506	0.28686285	-0.05557587	0.34601599	0.29566428	-0.14629316	0.28945374	0.29780841	-0.12695906	0.15322047	0.27648711	-0.26442528	0.09982083	0.30140120	-0.29155251	0.04301922																																				
0.090000	0.20360965	-0.03712535	0.33896554	0.18226828	-0.10653175	0.28712320	0.18170018	0.01562205	0.21081081	0.22841594	-0.02122214	0.07125720	0.21418238	0.02132609	0.03140652	0.28683880	-0.04377105	0.34659499	0.29408532	-0.13826205	0.28807148	0.29956561	-0.11934818	0.15275215	0.27922893	-0.25519839	0.10252117	0.30244866	-0.28487408	0.04689032																																				
